,MSE,MAE,MAPE
BA,109.73259415290792,8.567350503672724,5.044648801262393
BAX,2.589261344458867,1.2060273543648097,1.6376898187676137
BIIB,200.34996769038912,13.459646341075066,6.3108084830554345
CCL,1.1046976303988902,0.855783396181853,4.746389412736893
CHTR,339.7864725484067,13.979228144106658,2.5591868023205286
CPAY,43.40822931215491,4.880357029127037,2.0925679898446408
CTLT,18.758179103329507,3.3391553132430367,3.2361028621983077
CVX,19.88381763693432,3.2324850331182073,2.3490836778107593
D,5.119043430604,2.0246855362601903,2.77808890539444
FCX,4.494222027006936,1.6600064484969432,4.025746245165101
FIS,13.845291418805411,2.83539050558339,3.009017964534278
GNRC,290.9471461449406,13.646511310079823,4.93896291596939
GPN,16.012985068365786,3.075353274138078,2.3400869806682456
INTC,3.426934260192692,1.5180050393809446,3.433510314213819
KMX,14.410603297725526,3.0647816533627714,2.897743067835289
MRNA,212.18407828255823,11.81690090013587,6.955579753983276
NCLH,1.1913958398716282,0.8880112772402556,4.643832761553126
NFLX,1965.0086663107063,31.448563816236412,10.97407505113928
NUE,54.870387082625406,5.714620772652003,4.5667015422916934
PARA,2.5828092866793284,1.2125346142312756,4.104666921670613
RCL,19.960796793942883,3.7060627481211768,4.926617591982066
SWK,23.298174231970656,3.692258685568104,2.620367498752859
TFX,97.4537360717988,7.607748545771059,2.477953540127164
TSLA,343.6463346524487,14.869652789572012,4.8843207166551315
URI,176.8023919122621,10.731431247877047,3.4684904010060356
VTRS,0.3506369570553784,0.4011705813200576,3.954480979886024
WBD,2.038974591839739,1.1872999108355975,4.840959820982622
WST,269.59852460954824,13.37760593580163,3.4323155980191187
